FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
24572c8a4e7dd75364eda42c9b5d38fce82380c084df59a0a3bdfab73a94d2de91b20, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
03397fd29ce0a05b9121202faad883c9bfd82deabdd04a1dca9037dcc35dd8c0e40bf, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
192361d46e3d190ee9b7b28bb4d958369d5288b7d4e0123266e33292499231582c4da, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
039935b9333c93e85f8e6b05fb1362c68f1eca450a91389b046c3d3c69772b6011080, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
06930c6fb30934dba9c60d77965fb25180149ce5b42c23bb7da9f8495e126368e9944, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
110540a71af63cf9d170cef02ad36a87831c6afe2caf739848bd8aab10edb7d68b03f, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
036813e63d53ade7faacba9e6f2b03111cbe588e0e56821a64f760a26feb693102de8, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
1669865c86af1f19bbfa54afb0b525b5dbb9e09f75ab2cb30dd6e38a3e1107fbd610e, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
1385563912887ca95c0442f2116c38591830a280fdf4d2377ed51603532d6a3ffef97, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
09048c0ede41017a1b26ebf1f57ad58c66152d22f73b347c17cf023daa8858ae44da6, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
25313fc3ae2ca512a0c96916cdbff8e450894931750e2214db2e264f65c39f1e7d135, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,Checked,0,1
20819633063a31bd52fca893a1f79db9247776b4bbb4a915991204ee45190c6af2e9e, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
04227a294ed6fca5bef9ddba98e7ff38c998b464db9ef1aea9c318c82bcd9ce15b0f6, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,0,1
206242f646e9601b64556a6b231d493562053585ba03d5f066b365a9f7b41efafad85, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
2842662fad04b9b22b4b53fcaa304497f68af10d3f270a3debc2bbcc8995d83144251, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
08889b3b90bd41b671612c248128461e7a4dda07de75add36397fc46495247d101f68, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
06625215644aafadfcb39554d84d5e3120512ef263a2848b82e2735f55af01b972eeb, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
19748eb97e3f0a382c3f31d153fe3e0f4c4c873b8693af762eca2d941fac916446328, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
23918a15ad717f599fc66b76cac284677bedd1ac619146c082ff6ea1fcadd3712e7ee, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
