FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
31734af6f88f7815f2adeaadd22457fef2b3d5c4ba2b0f8aaca9db6369827c0d1163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
